1.0.0.0 1.0.255.255
1.1.0.0 1.1.255.255
1.2.0.0 1.2.255.255
1.3.0.0 1.3.255.255
1.10.0.0 1.10.255.255
1.184.0.0 1.184.255.255
1.185.0.0 1.185.255.255
14.0.0.0 14.0.255.255
14.23.0.0 14.23.255.255
14.24.0.0 14.24.255.255
14.25.0.0 14.25.255.255
14.31.0.0 14.31.255.255
14.112.0.0 14.112.255.255
14.113.0.0 14.113.255.255
14.114.0.0 14.114.255.255
14.115.0.0 14.115.255.255
14.117.0.0 14.117.255.255
14.118.0.0 14.118.255.255
14.119.0.0 14.119.255.255
14.127.0.0 14.127.255.255
14.144.0.0 14.144.255.255
14.145.0.0 14.145.255.255
14.147.0.0 14.147.255.255
14.149.0.0 14.149.255.255
14.150.0.0 14.150.255.255
14.151.0.0 14.151.255.255
14.152.0.0 14.152.255.255
14.153.0.0 14.153.255.255
14.154.0.0 14.154.255.255
14.156.0.0 14.156.255.255
14.157.0.0 14.157.255.255
14.159.0.0 14.159.255.255
14.208.0.0 14.208.255.255
14.209.0.0 14.209.255.255
14.210.0.0 14.210.255.255
14.211.0.0 14.211.255.255
14.214.0.0 14.214.255.255
14.215.0.0 14.215.255.255
14.223.0.0 14.223.255.255
27.34.0.0 27.34.255.255
27.36.0.0 27.36.255.255
27.38.0.0 27.38.255.255
27.39.0.0 27.39.255.255
27.40.0.0 27.40.255.255
27.41.0.0 27.41.255.255
27.42.0.0 27.42.255.255
27.43.0.0 27.43.255.255
27.44.0.0 27.44.255.255
27.45.0.0 27.45.255.255
27.46.0.0 27.46.255.255
27.47.0.0 27.47.255.255
27.50.0.0 27.50.255.255
27.54.0.0 27.54.255.255
27.100.0.0 27.100.255.255
27.103.0.0 27.103.255.255
27.106.0.0 27.106.255.255
27.121.0.0 27.121.255.255
36.0.0.0 36.0.255.255
36.36.0.0 36.36.255.255
36.37.0.0 36.37.255.255
39.0.0.0 39.0.255.255
42.0.0.0 42.0.255.255
42.1.0.0 42.1.255.255
42.62.0.0 42.62.255.255
42.83.0.0 42.83.255.255
42.96.0.0 42.96.255.255
42.99.0.0 42.99.255.255
42.123.0.0 42.123.255.255
42.156.0.0 42.156.255.255
42.186.0.0 42.186.255.255
42.187.0.0 42.187.255.255
42.194.0.0 42.194.255.255
49.239.0.0 49.239.255.255
58.60.0.0 58.60.255.255
58.61.0.0 58.61.255.255
58.62.0.0 58.62.255.255
58.63.0.0 58.63.255.255
58.65.0.0 58.65.255.255
58.66.0.0 58.66.255.255
58.67.0.0 58.67.255.255
58.82.0.0 58.82.255.255
58.194.0.0 58.194.255.255
58.206.0.0 58.206.255.255
58.207.0.0 58.207.255.255
58.248.0.0 58.248.255.255
58.249.0.0 58.249.255.255
58.250.0.0 58.250.255.255
58.251.0.0 58.251.255.255
58.252.0.0 58.252.255.255
58.253.0.0 58.253.255.255
58.254.0.0 58.254.255.255
58.255.0.0 58.255.255.255
59.32.0.0 59.32.255.255
59.33.0.0 59.33.255.255
59.34.0.0 59.34.255.255
59.35.0.0 59.35.255.255
59.36.0.0 59.36.255.255
59.37.0.0 59.37.255.255
59.38.0.0 59.38.255.255
59.39.0.0 59.39.255.255
59.40.0.0 59.40.255.255
59.41.0.0 59.41.255.255
59.42.0.0 59.42.255.255
59.43.0.0 59.43.255.255
59.46.0.0 59.46.255.255
59.74.0.0 59.74.255.255
59.107.0.0 59.107.255.255
59.191.0.0 59.191.255.255
59.253.0.0 59.253.255.255
60.204.0.0 60.204.255.255
60.205.0.0 60.205.255.255
61.4.0.0 61.4.255.255
61.28.0.0 61.28.255.255
61.29.0.0 61.29.255.255
61.45.0.0 61.45.255.255
61.140.0.0 61.140.255.255
61.141.0.0 61.141.255.255
61.142.0.0 61.142.255.255
61.143.0.0 61.143.255.255
61.144.0.0 61.144.255.255
61.145.0.0 61.145.255.255
61.146.0.0 61.146.255.255
61.187.0.0 61.187.255.255
61.232.0.0 61.232.255.255
61.234.0.0 61.234.255.255
61.235.0.0 61.235.255.255
61.242.0.0 61.242.255.255
101.55.0.0 101.55.255.255
101.96.0.0 101.96.255.255
101.99.0.0 101.99.255.255
101.101.0.0 101.101.255.255
101.102.0.0 101.102.255.255
101.110.0.0 101.110.255.255
101.128.0.0 101.128.255.255
101.203.0.0 101.203.255.255
101.234.0.0 101.234.255.255
101.251.0.0 101.251.255.255
103.5.0.0 103.5.255.255
106.0.0.0 106.0.255.255
106.111.0.0 106.111.255.255
106.127.0.0 106.127.255.255
110.43.0.0 110.43.255.255
110.64.0.0 110.64.255.255
110.65.0.0 110.65.255.255
110.93.0.0 110.93.255.255
110.120.0.0 110.120.255.255
110.173.0.0 110.173.255.255
110.210.0.0 110.210.255.255
110.217.0.0 110.217.255.255
111.222.0.0 111.222.255.255
112.75.0.0 112.75.255.255
112.89.0.0 112.89.255.255
112.90.0.0 112.90.255.255
