58.17.128.0   58.17.255.255
58.43.0.0   58.43.255.255
58.83.32.0   58.83.65.255
58.144.0.0   58.144.255.255
58.207.80.0   58.207.95.255
59.53.52.0   59.53.67.255
59.63.240.0   59.63.255.255
61.128.15.0   61.128.255.255
61.161.0.0   61.161.127.255
61.186.128.0   61.186.255.255
61.232.224.0   61.232.226.255
61.235.196.0   61.235.247.255
61.242.224.0   61.242.255.255
117.59.0.0   117.59.255.255
117.75.130.0   117.75.237.255
121.49.0.0   121.49.5.255
121.68.1.0   121.68.15.255
121.89.151.0   121.89.151.255
123.144.0.0   123.147.255.255
123.151.28.0   123.151.31.255
123.197.121.0   123.197.121.255
124.21.243.0   124.21.255.255
124.162.0.0   124.162.255.255
125.32.13.158   125.32.13.206
125.62.0.0   125.62.63.255
125.80.0.0   125.87.255.255
125.213.88.0   125.213.101.255
125.254.176.0   125.254.191.255
202.98.32.0   202.98.63.255
202.120.128.0   202.120.141.255
202.131.22.0   202.131.22.255
202.202.0.0   202.202.255.255
203.93.30.0   203.93.221.255
203.135.112.0   203.135.127.255
203.161.192.0   203.161.223.255
203.207.190.0   203.207.190.255
210.41.32.0   210.41.63.255
210.53.24.0   210.53.27.255
210.74.123.0   210.74.154.255
210.77.160.0   210.77.175.255
211.83.0.0   211.83.231.255
211.92.8.0   211.92.135.255
211.98.112.0   211.98.223.255
211.136.11.0   211.136.11.255
211.139.32.0   211.139.63.255
211.144.160.0   211.144.175.255
211.151.100.0   211.151.100.255
211.155.114.0   211.155.127.255
211.158.0.0   211.158.255.255
211.162.208.0   211.162.215.255
218.21.48.0   218.21.63.255
218.30.158.0   218.30.158.255
218.62.8.24   218.62.75.214
218.70.0.0   218.70.255.255
218.194.128.0   218.194.191.255
218.201.0.0   218.201.95.255
218.206.0.0   218.207.63.255
218.244.0.0   218.244.31.255
218.246.48.0   218.246.63.255
219.151.128.0   219.153.255.255
219.221.0.0   219.221.127.255
219.243.235.0   219.243.235.255
220.114.0.0   220.114.243.255
220.182.240.0   220.182.240.255
220.192.174.0   220.192.182.255
220.200.64.0   220.200.95.255
220.207.228.0   220.207.233.255
221.5.128.0   221.5.255.255
221.7.64.0   221.8.31.182
221.13.96.0   221.13.127.255
221.130.252.0   221.130.252.255
221.178.0.0   221.180.255.255
221.238.237.0   221.238.238.255
222.19.112.0   222.19.127.255
222.55.0.0   222.55.127.255
222.168.9.114   222.168.128.2
222.176.5.0   222.183.255.255
222.196.16.0   222.196.31.255
222.198.0.0   222.198.255.255
222.223.53.0   222.223.211.255
